timestamp,NetworkOut[ip-172-31-48-17][][]:50551879,NetworkOut[ip-172-31-50-76][][]:-415914231,NetworkOut[ip-172-31-52-141][][]:-149205882,NetworkOut[ip-172-31-52-238][][]:-265449233,NetworkOut[ip-172-31-53-54][][]:1403147174,NetworkOut[ip-172-31-60-25][][]:-2051791954,NetworkOut[ip-172-31-61-203][][]:2019006123,NetworkOut[ip-172-31-63-68][][]:146943562,MemUsed[ip-172-31-48-17][][]:-663727477,MemUsed[ip-172-31-50-76][][]:1253429001,MemUsed[ip-172-31-52-141][][]:-628268372,MemUsed[ip-172-31-52-238][][]:297443043,MemUsed[ip-172-31-53-54][][]:286830476,MemUsed[ip-172-31-60-25][][]:87039108,MemUsed[ip-172-31-61-203][][]:878236327,MemUsed[ip-172-31-63-68][][]:1284732776,DiskRead[ip-172-31-48-17][][]:1840017562,DiskRead[ip-172-31-50-76][][]:1142326236,DiskRead[ip-172-31-52-141][][]:-1355717479,DiskRead[ip-172-31-52-238][][]:1571532610,DiskRead[ip-172-31-53-54][][]:1242543033,DiskRead[ip-172-31-60-25][][]:-656022079,DiskRead[ip-172-31-61-203][][]:-1898712066,DiskRead[ip-172-31-63-68][][]:2112743261,LoadAvg1[ip-172-31-48-17][][]:-889593492,LoadAvg1[ip-172-31-50-76][][]:-1587284818,LoadAvg1[ip-172-31-52-141][][]:209638763,LoadAvg1[ip-172-31-52-238][][]:-1158078444,LoadAvg1[ip-172-31-53-54][][]:-1487068021,LoadAvg1[ip-172-31-60-25][][]:909334163,LoadAvg1[ip-172-31-61-203][][]:-333355824,LoadAvg1[ip-172-31-63-68][][]:-616867793,NetworkIn[ip-172-31-48-17][][]:-1106748148,NetworkIn[ip-172-31-50-76][][]:-1260342774,NetworkIn[ip-172-31-52-141][][]:-1390286611,NetworkIn[ip-172-31-52-238][][]:-839847068,NetworkIn[ip-172-31-53-54][][]:1846377933,NetworkIn[ip-172-31-60-25][][]:-1174565691,NetworkIn[ip-172-31-61-203][][]:-1043249624,NetworkIn[ip-172-31-63-68][][]:-1242186071,CPU[ip-172-31-48-17][][]:-1315417727,CPU[ip-172-31-50-76][][]:1922809087,CPU[ip-172-31-52-141][][]:-1505977822,CPU[ip-172-31-52-238][][]:-1478063655,CPU[ip-172-31-53-54][][]:288446210,CPU[ip-172-31-60-25][][]:-633995270,CPU[ip-172-31-61-203][][]:-736280675,CPU[ip-172-31-63-68][][]:2032299230,DiskWrite[ip-172-31-48-17][][]:1210982747,DiskWrite[ip-172-31-50-76][][]:1057388121,DiskWrite[ip-172-31-52-141][][]:927444284,DiskWrite[ip-172-31-52-238][][]:1477883827,DiskWrite[ip-172-31-53-54][][]:-130858468,DiskWrite[ip-172-31-60-25][][]:1143165204,DiskWrite[ip-172-31-61-203][][]:1274481271,DiskWrite[ip-172-31-63-68][][]:1075544824,BlockedProcess[ip-172-31-48-17][][]:77565290,BlockedProcess[ip-172-31-50-76][][]:-1656051924,BlockedProcess[ip-172-31-52-141][][]:1320633897,BlockedProcess[ip-172-31-52-238][][]:852438546,BlockedProcess[ip-172-31-53-54][][]:1948630345,BlockedProcess[ip-172-31-60-25][][]:-1455404719,BlockedProcess[ip-172-31-61-203][][]:-423103026,BlockedProcess[ip-172-31-63-68][][]:-1966103059,DiskUsed[ip-172-31-48-17][][]:1840120513,DiskUsed[ip-172-31-50-76][][]:1142429187,DiskUsed[ip-172-31-52-141][][]:-1355614528,DiskUsed[ip-172-31-52-238][][]:1571635561,DiskUsed[ip-172-31-53-54][][]:1242645984,DiskUsed[ip-172-31-60-25][][]:-655919128,DiskUsed[ip-172-31-61-203][][]:-1898609115,DiskUsed[ip-172-31-63-68][][]:2112846212,LoadAvg15[ip-172-31-48-17][][]:-1807594423,LoadAvg15[ip-172-31-50-76][][]:-1961189049,LoadAvg15[ip-172-31-52-141][][]:-2091132886,LoadAvg15[ip-172-31-52-238][][]:-1540693343,LoadAvg15[ip-172-31-53-54][][]:1145531658,LoadAvg15[ip-172-31-60-25][][]:-1875411966,LoadAvg15[ip-172-31-61-203][][]:-1744095899,LoadAvg15[ip-172-31-63-68][][]:-1943032346
1586044800000,42.6090000002,128.56923,39.6708800001,1.73939999938,261.74641,42.3830699995,247.90702,4.70859999955,15998.171875,21790.0078125,13472.359375,12474.6875,22823.4609375,11443.0585938,20892.3164062,12117.3710938,14.0604999997,219.54883,12.7714999989,6.06641000137,611.92578,12.2032000013,455.91016,10.4648000002,0.48,1.08,0.01,0.1,0.56,0.05,8.68,0.02,0.0876465000001,25.613562,27.9306899998,0.0142202400002,63.54285,0.0809029999982,67.699649,0.0201806999994,1.33654,16.747502,0.600751,0.519464,15.372046,1.194961,74.893992,0.41551,0,1.03125,0,0,0.289069999941,0,0,0,0,0,0,0,0,0,0,0,29.312819,60.225952,25.629517,20.580696,54.884781,29.602188,53.883125,20.92,0.19,3.27,0.05,0.11,2.31,0.1,6.01,0.05
1586044860000,16.1696600001,146.812059999,8.65096999984,NaN,NaN,18.7304400001,109.95163,6.64809999987,16010.9257812,21788.1601562,13472.890625,12475.09375,22834.5,11442.9960938,20888.71875,12128.7109375,7.94730000012,183.87305,8.68360000104,6.9843699988,187.43164,9.71089999937,183.890620001,7.78910000063,0.18,1.28,0,0.04,1.23,0.02,8.16,0.01,0.0305490999999,30.596166,0.0524500003085,0.0112543099995,37.962299,0.0442019000002,30.858225,0.0188064600006,1.691072,21.875829,1.314614,0.546893,16.19118,0.84374,74.199413,1.915885,0,8.02343000006,0,0,4.26561999973,0,0.27343999967,0,0,0,0,0,0,0,0,0,29.313934,60.228962,25.629959,20.580988,54.886341,29.538151,53.887306,20.787712,0.18,3.15,0.05,0.1,2.3,0.1,6.16,0.05
1586044920000,19.1083399998,109.134430001,32.1991600003,NaN,NaN,12.3520999998,53.1631399998,3.04450000077,16006.5507812,21784.2617188,13469.5,12474.7539062,22822.375,11443.4179688,20893.53125,12116.9101562,8.2675999999,150.3164,6.26169999875,5.52539000101,164.61133,5.97460000031,334.169919999,6.94730000012,0.06,0.83,0.17,0.09,2.77,0.01,11.08,0.04,0.0344313999994,22.828984,0.0400999998674,0.01449013,30.624359,0.0309715000003,11.1461820001,0.0122880999988,1.404447,14.836113,4.051234,0.446391,13.066525,0.724516,92.611391,1.082731,0,1.5,0,0,0,0,15.1728499997,0,0,0,0,0,0,0,0,0,29.31427,60.229153,25.629807,20.580851,54.889072,29.30131,53.886467,20.78759,0.17,3,0.06,0.11,2.41,0.09,6.61,0.05
1586044980000,7.77572999988,50.9202300003,44.0185999991,NaN,NaN,0.382770000026,8.49258000031,0.20920000039,16019.3945312,21783.984375,13482.78125,12484.9765625,22836.4726562,11455.1367188,20902.0273438,12130,13.1112999991,100.77735,10.5137000009,4.5351599995,192.69922,10.5918000005,31.8789100004,8.68159999885,0.02,0.65,0.16,0.1,1.82,0,10.67,0.01,0.0142688999986,10.409493,13.82852,0.00603199000034,12.105928,0.0116215000016,2.11531599995,0.00627327000075,0.699315,7.487177,4.646004,0.367041,5.432055,0.194094,98.269134,0.148235,0,0,0,0,0,0,0.0712900003418,0,0,0,0,0,0,0,0,0,29.04583,60.230679,25.514645,20.433157,54.891949,29.301353,53.883163,20.676609,0.16,2.86,0.06,0.11,2.38,0.09,6.83,0.05
1586045040000,0.489129999653,1.56106999982,30.8302800003,NaN,NaN,3.61864,6.49354999978,0.0247999988496,16019.4375,21797.0078125,13481.5859375,12474.7382812,22836.3320312,11454.4414062,20902.1953125,12129.8710938,5.4570000004,13.8339800006,3.53319999948,8.71289000101,9.54296999983,4.02929999866,33.7011700002,2.99019999988,0.07,0.24,0.16,0.04,0.72,0,10.77,0.01,0.00375079999867,0.0786809999845,0.0394700001925,0.00180721000015,0.00137999997241,0.0109728999996,1.99291600008,0.000610349999988,0.285673,0.362008,4.295831,0.18344,0.416248,0.262872,98.752616,0.156491,0,7.41504000034,0,0,4.625,0,0,0,0,0,0,0,0,0,0,0,29.04583,60.229057,25.514858,20.436562,54.89077,29.30192,53.883404,20.676794,0.16,2.68,0.07,0.11,2.23,0.08,7.08,0.05
1586045100000,2.13539000042,7.1068500001,56.8058700003,NaN,NaN,2.04588000011,14.8347699996,0.0213000010699,16017.890625,21796.4101562,13483.1640625,12486.15625,22834.2460938,11453.1289062,20900.6679688,12130.4492188,5.88279999979,25.0605499996,4.84569999948,3.28319999948,36.4101500008,3.2304999996,20.4238299998,2.66019999981,0.1,0.09,0.23,0.01,0.27,0,10.01,0,0.00586610000028,1.91357999999,27.5913899997,0.00359057999958,5.72068199998,0.013323799998,4.84109100001,0.00268649999998,0.339973,1.149619,4.840868,0.235638,1.887713,0.493894,98.671138,0.166921,0,0,0,0,0.304690000601,0,0,0,0,0,0,0,0,0,0,0,29.046255,60.22945,25.514858,20.435448,54.891239,29.301857,53.884079,20.684639,0.15,2.51,0.08,0.1,2.09,0.08,7.26,0.05
1586045160000,1.34346000012,16.3385399999,28.6397199994,NaN,NaN,2.73802999966,10.6158500006,0.0386999994516,16018.765625,21793.3359375,13482.9570312,12486.109375,22833.765625,11442.3632812,20902.9179688,12129.0898438,5.61920000054,31.4628900001,3.87110000104,2.66406999901,21.9375,5.15620000102,21.0019499995,6.06840000115,0.04,0.03,0.13,0,0.1,0,10.02,0,0.00333110000065,1.99403100001,0.0528400000185,0.0033731500007,1.54971200001,0.0141583000004,1.17985499999,0.00393676000022,0.298122,1.475337,3.625,0.229296,0.592819,0.196238,99.253778,0.171061,0,0.54687999934,0,0,0.0156199997291,0,0,0,0,0,0,0,0,0,0,0,29.046177,60.22982,25.516111,20.435509,54.891415,29.306576,53.884613,20.676855,0.14,2.36,0.08,0.09,1.96,0.07,7.44,0.05
1586045220000,2.86170999985,12.2021500003,3.23734000046,NaN,75.9,0.883950000629,8.31324999966,1.23770000041,16017.671875,21783.3476562,13481.3476562,12474.453125,22834.3554688,11451.9453125,20902.6914062,12131.0625,5.59759999998,36.2109399997,5.11909999885,4.34374000132,38.5273499992,3.17779999971,43.8906300003,3.10930000059,0.05,0.01,0.05,0,0.04,0.11,9.51,0,0.0054197999998,0.868080999993,0.0425100000575,0.00222110999948,3.371331,0.00987810000152,2.13589099993,0.00202752000041,0.356659,1.249264,0.204375,0.410571,1.036934,0.204431,98.383241,0.183551,0,0.0390600003302,0,0,0.46875,0,0,0,0,0,0,0,0,0,0,0,29.047293,60.230328,25.516356,20.437769,54.892021,29.303247,53.884739,20.677006,0.13,2.21,0.07,0.09,1.84,0.07,7.58,0.05
1586045280000,0.950950000435,8.88816999923,3.39905000012,NaN,NaN,0.709479999729,8.40418000054,0.0539999995381,16017.7382812,21798.7226562,13482.2109375,12489.9453125,22834.0742188,11440.578125,20903.7890625,12130.78125,4.85940000042,31.3359400006,3.21880000085,2.87304999866,26.15625,5.52730000019,22.5351600004,3.85349999927,0.02,0,0.02,0,0.01,0.04,10.05,0,0.00338650000049,2.35332500003,0.0631500002928,0.00297451000006,2.43077000004,0.0146609000003,1.95359000005,0.00357436999911,0.337683,1.156861,0.33557,0.195968,1.115046,0.271144,98.654539,0.177323,0,0.00781000033021,0,0,0.0156300002709,0,0,0,0,0,0,0,0,0,0,0,28.993086,60.230762,25.51643,20.437632,54.892467,29.30514,53.884991,20.677006,0.13,2.07,0.06,0.08,1.72,0.07,7.77,0.05
1586045340000,1.85666000005,10.2204600004,3.28972999938,NaN,NaN,3.58050000016,11.7019399991,0.0374999996275,16017.5390625,21785.4492188,13482.0585938,12474.6601562,22834.2070312,11439.9179688,20890.7421875,12130.3554688,4.42970000021,14.6718699997,4.3144000005,4.35546999983,22.0273400005,3.69730000012,34.8476499999,2.9160999991,0.01,0.45,0.01,0,0,0.02,9.22,0,0.00290870000026,2.05784099997,0.078869999852,0.00313948999974,7.18842099997,0.0129299,3.36198499997,0.0023240999999,0.331526,1.124637,0.187637,0.243821,1.548371,0.250323,97.279656,0.137686,0,2.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.995451,60.2309,25.51643,20.430622,54.892677,29.30514,53.885468,20.677265,0.12,1.99,0.06,0.08,1.62,0.06,7.83,0.05
